Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #1 (WSW),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #101 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1202,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1302,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1304,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1307,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1308,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1310 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1402 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1403 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1503 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1504,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1507 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1509 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1601 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1604,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1605 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #1607,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1902,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #1903 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2001,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #2003,multi day,4/1/18,24.00,Shut In - Temporary,,,,,,,,,,,,,,,,,,,,,,
FWU #2004,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #2005 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2006 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2007 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2101 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2102 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #2103,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
