Unit Name,Gas Meters,Date,Gas Volume,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/1/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/2/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/3/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/4/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/5/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/6/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/7/18,,,,,,,,
FWU #906 (INJ),FWU #906 CO2,4/8/18,,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/7/19,509.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/8/19,509.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/9/19,182.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/10/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/11/19,292.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/12/19,535.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/13/19,310.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/14/19,485.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/15/19,270.00,,,,,,,
FWU #1101 (INJ),FWU #1101 CO2,3/16/19,348.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,5/31/19,"4,715.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,5/31/19,"7,045.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,5/31/19,"3,648.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,5/31/19,"1,453.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,5/31/19,882.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,5/31/19,"1,343.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,5/31/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,5/31/19,"1,026.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,5/31/19,"1,382.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,5/31/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,5/31/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,5/31/19,"1,369.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,5/31/19,"1,861.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,5/31/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,5/31/19,"1,144.00",,,,,,,
FWU #602,FWU #602 GL METER,5/31/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,5/31/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,5/31/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 CO2,5/31/19,"1,755.00",,,,,,,
FWU #805 (INJ),FWU #805 CO2,5/31/19,0.00,,,,,,,
FWU #901,FWU #901 GL METER,5/31/19,0.00,,,,,,,
FWU #9010 (INJ),FWU #9010 CO2,5/31/19,"1,841.00",,,,,,,
FWU #908 (INJ),FWU #908 CO2,5/31/19,0.00,,,,,,,
Arkalon CO2 Purchase,FWU CTB Booker Deduct Meter,6/1/19,"4,332.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Recycle Meter,6/1/19,"6,776.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU Flare Meter,6/1/19,"3,774.00",,,,,,,
FWU #1301 (INJ),FWU #1301 CO2,6/1/19,"1,201.00",,,,,,,
FWU #1303 (INJ),FWU #1303 CO2,6/1/19,865.00,,,,,,,
FWU #1305 (INJ),FWU #1305 CO2,6/1/19,"1,311.00",,,,,,,
FWU #1309 (INJ),FWU #1309 CO2,6/1/19,0.00,,,,,,,
FWU #1310A (INJ),FWU #1310A CO2,6/1/19,"1,009.00",,,,,,,
FWU #1313 (INJ),FWU #1313 CO2,6/1/19,"1,322.00",,,,,,,
FWU #1401 (INJ),FWU #1401 CO2,6/1/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 CO2,6/1/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 CO2,6/1/19,"1,317.00",,,,,,,
FWU #1506 (INJ),FWU #1506 CO2,6/1/19,"1,790.00",,,,,,,
FWU #1603 (INJ),FWU #1603 CO2,6/1/19,0.00,,,,,,,
FWU #502 (INJ),FWU #502 CO2,6/1/19,"1,188.00",,,,,,,
FWU #602,FWU #602 GL METER,6/1/19,0.00,,,,,,,
FWU #702,FWU #702 GL METER,6/1/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 CO2,6/1/19,0.00,,,,,,,
