Unit Name,API,District,Field,Battery,Start Date,Downtime,Operating Time,Allocated HCLiq,Allocated Gas,Allocated Water,Injection Well - Gas,Injection Well - Water,,,,,,,,,,,,
FWU #1 (WSW),42357810690000,PANHANDLE,FWU,FARNSWORTH (INJ),6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #101 (INJ),42357009380000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1101 (INJ),42357020350000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1102,42357330000000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,227.73","6,099.56","2,533.10",,,,,,,,,,,,,,
FWU #1202,42357319860000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1301 (INJ),42357007950000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"39,670.59",0.00,,,,,,,,,,,,
FWU #1302,42357023500000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1303 (INJ),42357007940000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"22,457.18",0.00,,,,,,,,,,,,
FWU #1304,42357023510000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1305 (INJ),42357007990000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"36,324.83",0.00,,,,,,,,,,,,
FWU #1306,42357007960000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"2,099.12","2,523.29","3,724.90",,,,,,,,,,,,,,
FWU #1307,42357023520000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1308,42357023490000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1309 (INJ),42357811020000,PANHANDLE,FWU,FARNSWORTH,6/1/19,24.00,696.00,,,,0.00,"15,769.34",,,,,,,,,,,,
FWU #1310 (INJ),42357301030000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1310A (INJ),42357331790000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"32,564.49",0.00,,,,,,,,,,,,
FWU #1311,42357301040000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1311 (SWD),42357301040001,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,0.00,"26,434.00",,,,,,,,,,,,
FWU #1312,42357330130000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"4,139.10","12,721.87","6,802.00",,,,,,,,,,,,,,
FWU #1313 (INJ),42357333320000,PANHANDLE,FWU,FARNSWORTH,6/1/19,24.00,696.00,,,,"27,139.55",0.00,,,,,,,,,,,,
FWU #1314,42357331890000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,265.66,267.85,"2,943.65",,,,,,,,,,,,,,
FWU #1315,42357333730000,PANHANDLE,FWU,FARNSWORTH,6/1/19,12.00,708.00,"4,088.98","1,191.27",911.21,,,,,,,,,,,,,,
FWU #1316,42357331930000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,680.00,"9,629.26","1,781.48",,,,,,,,,,,,,,
FWU #1317,42357333990000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"1,359.99","19,363.96","5,141.99",,,,,,,,,,,,,,
FWU #1319,42357333740000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,29.57,449.83,"5,263.45",,,,,,,,,,,,,,
FWU #1401 (INJ),42357020410000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,0.00,"18,231.52",,,,,,,,,,,,
FWU #1402 (INJ),42357002670001,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1403 (INJ),42357020660000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1501,42357000600001,PANHANDLE,FWU,FARNSWORTH,6/1/19,624.00,96.00,4.24,12.04,240.35,,,,,,,,,,,,,,
FWU #1502 (INJ),42357811100000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,69.17,"16,374.13",,,,,,,,,,,,
FWU #1503 (INJ),42357006060000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1504,42357023340000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1505 (INJ),42357020300000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"23,008.04","6,756.26",,,,,,,,,,,,
FWU #1506 (INJ),42357301210000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,,,,"59,932.51",0.00,,,,,,,,,,,,
FWU #1507 (INJ),42357150709999,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
