Table 1
Date,Oil Production (bbls),Water Production (bbls),Water Injection (bbls),Arkalon CO2 (mcf),Borger CO2 (mcf),Recycle CO2 (mcf),Flare (mcf),External Sources (bbls),Total Injection (bbls),,
3/26/14,"1,150",0,0,0,0,0,0,0,0,,
3/27/14,0,0,0,0,0,0,0,0,0,,
4/1/14,0,0,0,0,0,0,0,0,0,,
4/2/14,"1,321","6,833","6,833","8,594","2,608","5,826",0,"6,329","16,453",,
4/3/14,"1,338","7,223","6,848","8,453","2,381","6,223",0,"6,121","16,860",,
4/4/14,"1,322","5,615","5,284","7,974","2,533","6,628",0,"5,936","15,296",,
4/5/14,306,"6,481","6,103","8,112","2,533","7,089",0,"6,014","16,500",,
4/6/14,195,"6,488","5,529","5,806","2,859","7,167",0,"4,895","15,433",,
4/7/14,"1,515","6,550","5,335","6,290","2,781","6,810",0,"5,125","15,522",,
4/8/14,"2,102","6,915","5,701","6,626","2,453","6,772",622,"5,129","15,870",,
4/9/14,"1,665","6,385","5,752","6,666","2,365","7,164",90,"5,102","15,535",,
4/10/14,"2,234","7,124","6,876","6,499","2,415","7,520",0,"5,036","16,409",,
4/11/14,"2,231","7,164","6,912","6,400","2,304","7,977",233,"4,918","16,588",,
4/12/14,"1,720","7,070","6,812","6,632","2,558","7,261",182,"5,192","16,364",,
4/13/14,"1,677","7,138","6,867","6,506","2,695","6,929",0,"5,198","16,251",,
4/14/14,"1,680","6,431","6,198","4,990","2,567","6,902",0,"4,269","14,600",,
4/15/14,"1,554","6,366","6,134","5,431","2,761","6,790",0,"4,628","14,830",,
4/16/14,0,"6,177","6,096",0,"2,613","6,100",0,"1,476","11,100",,
4/17/14,972,"6,205","6,205",0,"1,893","6,905",20,"1,069","11,176",,
4/18/14,254,"7,327","7,327",0,"2,101","7,811",33,"1,187","12,927",,
4/19/14,-778,"7,225","7,225",0,"2,216","7,450",9,"1,252","12,686",,
4/20/14,42,"7,085","7,085",0,"2,091","7,301",380,"1,181","12,391",,
4/21/14,960,"6,935","6,935",0,"2,083","7,255",601,"1,177","12,211",,
4/22/14,-42,"6,915","6,915","3,947","1,893","7,100",308,"3,299","14,226",,
4/23/14,-372,"7,140","7,140","4,834","1,841","6,906",310,"3,771","14,813",,
4/24/14,"1,792","6,704","6,704","5,318","1,542","6,964",721,"3,876","14,514",,
4/25/14,"1,759","7,247","6,899","5,244","1,668","6,989",958,"3,905","15,101",,
4/26/14,"4,253","8,904","6,899","4,347","2,026","7,509","1,035","3,601","16,747",,
4/27/14,154,"9,202","7,225","4,363","1,100","7,427",749,"3,086","16,484",,
4/28/14,"1,836","8,667","6,745","3,868","1,550","7,437",658,"3,061","15,930",,
4/29/14,"1,784","8,504","6,731","4,433","1,979","7,464",586,"3,623","16,344",,
4/30/14,"1,808","8,650","6,907","5,101","2,318","7,514",536,"4,192","17,087",,
5/1/14,"1,770","8,701","6,903","4,540","2,969","7,473",528,"4,242","17,165",,
5/2/14,"2,088","7,687","6,251","3,758","2,913","7,592",210,"3,769","15,745",,
5/3/14,"1,701","7,922","6,550","3,862","3,036","7,641",0,"3,897","16,136",,
5/4/14,"1,424","8,435","7,020","3,862","3,203","7,532",0,"3,992","16,682",,
5/5/14,"1,778","8,906","6,157","3,666","3,219","7,531",2,"3,890","17,051",,
5/6/14,"1,527","8,346","5,492","3,512","3,181","7,785",0,"3,781","16,526",,
5/7/14,"1,941","8,675","6,576","3,160","3,488","8,187",71,"3,756","17,056",,
5/8/14,"1,889","8,954","6,814","1,970","3,674","8,460",5,"3,189","16,922",,
5/9/14,"1,876","7,903","6,849","1,401","3,674","8,255",1,"2,867","15,434",,
5/10/14,"2,008","8,414","7,456","3,306","3,701","8,061",101,"3,959","16,927",,
5/11/14,"1,814","8,932","5,908","2,246","3,138","8,118",2,"3,042","16,560",,
5/12/14,"1,867","8,641","6,875","2,373","2,886","8,131",0,"2,971","16,206",,
5/13/14,"1,773","8,717","6,984","2,936","3,107","7,901",0,"3,414","16,595",,
5/14/14,"1,796","8,062","6,035","2,967","3,434","7,342",5,"3,616","15,826",,
5/15/14,"1,549","7,650","6,723","1,078","2,855","2,932","3,662","2,222","11,529",,
5/16/14,"1,460","7,879","7,059","1,054","2,855",557,"4,949","2,208","10,402",,
5/17/14,"1,582","8,070","6,798","1,439","3,438","2,281",300,"2,755","12,114",,
5/18/14,"1,486","8,153","6,415","1,996","3,622","6,448",0,"3,174","14,970",,
5/19/14,"1,887","7,611","6,029","2,227","2,672","6,484",0,"2,768","14,042",,
5/20/14,"1,846","7,254","6,680","2,391","1,461","6,878",187,"2,176","13,316",,
5/21/14,6,"8,264","5,571","3,500","1,636","7,863",0,"2,902","15,608",,
5/22/14,"1,705","7,948","5,800","5,258","1,672","7,875",4,"3,915","16,312",,
5/23/14,"2,054","8,128","5,619","7,094",0,"7,813",0,"4,008","16,550",,
5/24/14,"2,569","7,739","5,419","6,279",0,"5,803",5,"3,547","14,565",,
5/25/14,"1,555",0,"-2,263",0,0,0,0,0,0,,
5/26/14,"2,056","7,125","4,960","6,088",0,"7,993",0,"3,440","15,080",,
5/27/14,"1,814","7,409","6,229","6,844",0,"8,076",0,"3,867","15,838",,
5/28/14,"2,000","7,756","5,583","6,214",0,"5,513","2,467","3,511","14,381",,
5/29/14,"1,631","6,722","5,403","6,561",0,0,"7,950","3,707","10,429",,
5/30/14,"1,901","7,141","5,738","6,937",0,0,"7,800","3,919","11,060",,
5/31/14,"2,494","6,482","5,473","6,855",0,0,"7,840","3,873","10,355",,
6/1/14,"1,580","6,705","5,555","6,920",0,0,"7,945","3,910","10,615",,
6/2/14,"1,754","6,882","5,592","6,976",0,0,"7,850","3,941","10,823",,
6/3/14,"1,784","6,810","5,675","6,962",616,"3,807","3,786","4,281","13,242",,
6/4/14,"1,686","6,680","5,505","6,912","2,152","2,933",0,"5,121","13,458",,
6/5/14,"1,696","6,668","4,160","4,162","2,261","7,295",0,"3,629","14,418",,
6/6/14,"1,532","5,616","4,441","7,115","2,930","7,133",0,"5,675","15,321",,
6/7/14,"1,463","6,265","5,095","6,262","3,317","5,019","1,268","5,412","14,512",,
