Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/1/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/2/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/3/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/4/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/5/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/6/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/7/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/8/18,0.00,,,,,,,
FWU #906 (INJ),FWU #906 Water,4/9/18,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/7/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/8/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/9/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/10/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/11/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/12/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/13/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/14/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/15/19,0.00,,,,,,,
FWU #1101 (INJ),FWU #1101 Water,3/16/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,5/31/19,"7,440.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,5/31/19,"1,856.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,5/31/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,5/31/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,5/31/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,5/31/19,528.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,5/31/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,5/31/19,"2,139.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,5/31/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,5/31/19,490.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,5/31/19,1.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,5/31/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,5/31/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,5/31/19,526.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,5/31/19,"116,898.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,5/31/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,5/31/19,"1,083.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,5/31/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,5/31/19,"1,486.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,5/31/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,5/31/19,737.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/1/19,"7,049.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/1/19,"1,760.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/1/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/1/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/1/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/1/19,524.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/1/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/1/19,144.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/1/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/1/19,448.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/1/19,2.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/1/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/1/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/1/19,498.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/1/19,"116,903.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/1/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/1/19,"1,049.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/1/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/1/19,"1,464.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/1/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/1/19,733.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/2/19,"7,184.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/2/19,"2,055.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/2/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/2/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/2/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/2/19,533.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/2/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/2/19,"1,239.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/2/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/2/19,502.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/2/19,2.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/2/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/2/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/2/19,532.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/2/19,"116,970.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/2/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/2/19,"1,984.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/2/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/2/19,"1,475.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/2/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/2/19,745.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/3/19,"7,242.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/3/19,"2,085.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/3/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/3/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/3/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/3/19,534.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/3/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/3/19,"1,697.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/3/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/3/19,490.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/3/19,150.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/3/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/3/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/3/19,515.00,,,,,,,
