network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHE,FWU3,10,2019-12-26T00:00:00,2019-12-26T23:59:59.996000,250.0,-1565.6666666666667,-0.2654605084361255,0.2650713178735066
ZZ,HHE,FWU3,10,2019-11-02T00:00:00,2019-11-02T23:59:59.996000,250.0,1351.3333333333333,0.4879782170236997,0.1491985126897789
ZZ,HHE,FWU3,10,2019-12-22T00:00:00,2019-12-22T23:59:59.996000,250.0,-3095.6666666666665,-0.7811315559092817,1.3636824047930258
ZZ,HHE,FWU3,10,2019-12-15T00:00:00,2019-12-15T23:59:59.996000,250.0,-615.3333333333334,-0.11275423954336641,2.7652038123223917
ZZ,HHE,FWU3,10,2019-11-28T00:00:00,2019-11-28T23:59:59.996000,250.0,-5017.0,-1.224594425235825,0.491212859590864
ZZ,HHE,FWU3,10,2019-12-14T00:00:00,2019-12-14T23:59:59.996000,250.0,1545.3333333333333,0.5816351511733023,0.040521043522235255
ZZ,HHE,FWU3,10,2019-12-01T00:00:00,2019-12-01T23:59:59.996000,250.0,-4433.333333333333,-1.0557239900993558,0.1417668185926274
ZZ,HHE,FWU3,10,2019-11-25T00:00:00,2019-11-25T23:59:59.996000,250.0,-108.33333333333333,0.10022803373872101,0.0820264336881533
ZZ,HHE,FWU3,10,2019-11-24T00:00:00,2019-11-24T23:59:59.996000,250.0,-131.0,0.3226287503765615,-3.48078136577081
ZZ,HHE,FWU3,10,2019-12-05T00:00:00,2019-12-05T23:59:59.996000,250.0,35202.0,9.759313792584837,-1.8839063218542065
ZZ,HHE,FWU3,10,2019-11-23T00:00:00,2019-11-23T23:59:59.996000,250.0,-610.3333333333334,-0.0547139703567798,0.3126923559056165
ZZ,HHE,FWU3,10,2019-11-15T00:00:00,2019-11-15T23:59:59.996000,250.0,466.0,0.2541770585145504,0.18110695453955628
ZZ,HHE,FWU3,10,2019-11-01T00:00:00,2019-11-01T23:59:59.996000,250.0,-2093.3333333333335,-0.43047946513032065,0.10637111529153655
ZZ,HHE,FWU3,10,2019-11-07T00:00:00,2019-11-07T23:59:59.996000,250.0,630.6666666666666,0.30907504644446365,-0.15649053463155388
ZZ,HHE,FWU3,10,2019-11-29T00:00:00,2019-11-29T23:59:59.996000,250.0,-210.33333333333334,0.07409720788588055,0.15026160387565643
ZZ,HHE,FWU3,10,2019-12-24T00:00:00,2019-12-24T23:59:59.996000,250.0,1544.3333333333333,0.5622217189928812,-0.03429606505799762
