network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-26T23:59:59.996000,2019-12-26T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-26T23:59:59.996000,2019-11-26T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-17T23:59:59.996000,2019-12-17T00:00:00,250.0,10
ZZ,HHE,FWU4,[ 114480  111960  112795 ... -504137 -488829 -492338],2019-11-04T23:59:59.996000,2019-11-04T00:00:00,250.0,10
ZZ,HHE,FWU4,[-830513 -831342 -831192 ...   58076   56950   55569],2019-10-31T23:59:59.996000,2019-10-31T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-23T23:59:59.996000,2019-12-23T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-16T23:59:59.996000,2019-11-16T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-30T23:59:59.996000,2019-11-30T00:00:00,250.0,10
ZZ,HHE,FWU4,[-511179 -499571 -503043 ...  784785  784511  784091],2019-11-05T19:05:41.284000,2019-11-05T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-24T23:59:59.996000,2019-11-24T00:00:00,250.0,10
ZZ,HHE,FWU4,[398233 396432 392722 ... 120643 124092 122227],2019-11-03T23:59:59.996000,2019-11-03T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-08T23:59:59.996000,2019-12-08T00:00:00,250.0,10
ZZ,HHE,FWU4,[-2046743 -2047278 -2046965 ... -8269287 -8269287 -8269287],2019-11-12T23:59:59.996000,2019-11-12T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-03T23:59:59.996000,2019-12-03T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-14T23:59:59.996000,2019-11-14T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-15T23:59:59.996000,2019-12-15T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-20T23:59:59.996000,2019-12-20T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-31T14:44:32.428000,2019-12-31T00:00:00,250.0,10
ZZ,HHE,FWU4,[-585064 -589025 -587767 ... -747518 -745923 -743982],2019-11-06T23:59:59.996000,2019-11-06T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-21T23:59:59.996000,2019-11-21T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-25T23:59:59.996000,2019-11-25T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-04T23:59:59.996000,2019-12-04T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-18T23:59:59.996000,2019-11-18T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-13T23:59:59.996000,2019-11-13T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-22T23:59:59.996000,2019-11-22T00:00:00,250.0,10
